lat	lon	value	color
44.74372502	-95.84116303	0	#A9AE85
44.77821417	-95.84108179	0	#A9AE85
44.812706	-95.84100047	0	#A9AE85
44.84720054	-95.84091907	0	#A9AE85
44.88169779	-95.84083758	0	#A9AE85
44.91619778	-95.840756	0	#A9AE85
44.95070052	-95.84067435	0	#A9AE85
44.98520603	-95.84059261	0	#A9AE85
45.01971433	-95.84051079	0	#A9AE85
45.05422544	-95.84042888	2	#73A7CC
45.08873937	-95.84034689	2	#73A7CC
45.12325614	-95.84026481	0	#A9AE85
45.15777578	-95.84018265	2	#73A7CC
45.19229829	-95.8401004	2	#73A7CC
45.2268237	-95.84001807	2	#73A7CC
45.26135203	-95.83993566	0	#A9AE85
45.29588328	-95.83985316	2	#73A7CC
45.33041749	-95.83977058	1	#729565
45.36495467	-95.83968791	0	#A9AE85
45.39949484	-95.83960515	0	#A9AE85
45.43403801	-95.83952231	0	#A9AE85
45.4685842	-95.83943938	0	#A9AE85
45.50313344	-95.83935637	0	#A9AE85
45.53768574	-95.83927327	0	#A9AE85
45.57224112	-95.83919009	0	#A9AE85
45.6067996	-95.83910682	2	#73A7CC
45.64136119	-95.83902346	0	#A9AE85
45.67592592	-95.83894002	2	#73A7CC
45.7104938	-95.83885649	0	#A9AE85
45.74506485	-95.83877287	2	#73A7CC
45.7796391	-95.83868917	0	#A9AE85
45.81421656	-95.83860538	0	#A9AE85
45.84879724	-95.83852151	0	#A9AE85
45.88338118	-95.83843754	0	#A9AE85
45.91796838	-95.83835349	0	#A9AE85
45.95255886	-95.83826935	0	#A9AE85
45.98715266	-95.83818512	0	#A9AE85
46.02174977	-95.83810081	0	#A9AE85
46.05635023	-95.83801641	1	#729565
46.09095405	-95.83793192	0	#A9AE85
46.12556126	-95.83784734	2	#73A7CC
46.16017186	-95.83776267	2	#73A7CC
46.19478588	-95.83767792	0	#A9AE85
46.22940335	-95.83759307	2	#73A7CC
46.26402427	-95.83750814	0	#A9AE85
46.29864868	-95.83742312	0	#A9AE85
46.33327658	-95.83733801	2	#73A7CC
46.36790799	-95.83725281	2	#73A7CC
46.40254295	-95.83716752	2	#73A7CC
46.43718146	-95.83708214	2	#73A7CC
46.47182355	-95.83699667	0	#A9AE85
46.50646924	-95.83691111	2	#73A7CC
46.54111854	-95.83682547	2	#73A7CC
46.57577148	-95.83673973	2	#73A7CC
46.61042808	-95.8366539	2	#73A7CC
46.64508835	-95.83656798	1	#729565
46.67975232	-95.83648197	1	#729565
46.71442	-95.83639588	2	#73A7CC
46.74909142	-95.83630969	2	#73A7CC
46.7837666	-95.8362234	2	#73A7CC
46.81844556	-95.83613703	0	#A9AE85
46.85312831	-95.83605057	2	#73A7CC
46.88781488	-95.83596402	1	#729565
46.92250529	-95.83587737	1	#729565
46.95719956	-95.83579063	2	#73A7CC
46.99189771	-95.8357038	0	#A9AE85
47.02659975	-95.83561688	0	#A9AE85
47.06130572	-95.83552987	2	#73A7CC
47.09601563	-95.83544277	2	#73A7CC
47.1307295	-95.83535557	2	#73A7CC
47.16544735	-95.83526828	0	#A9AE85
47.20016921	-95.8351809	0	#A9AE85
47.23489509	-95.83509342	2	#73A7CC
47.26962502	-95.83500585	2	#73A7CC
47.30435901	-95.83491819	0	#A9AE85
47.33909709	-95.83483044	2	#73A7CC
47.37383928	-95.83474259	2	#73A7CC
47.4085856	-95.83465465	0	#A9AE85
47.44333608	-95.83456662	2	#73A7CC
47.47809072	-95.83447849	0	#A9AE85
47.51284956	-95.83439026	0	#A9AE85
47.54761261	-95.83430195	0	#A9AE85
47.5823799	-95.83421354	0	#A9AE85
47.61715145	-95.83412503	0	#A9AE85
47.65192728	-95.83403643	2	#73A7CC
47.68670741	-95.83394774	2	#73A7CC
47.72149186	-95.83385895	2	#73A7CC
47.75628066	-95.83377006	2	#73A7CC
47.79107383	-95.83368108	2	#73A7CC
47.82587138	-95.83359201	0	#A9AE85
47.86067335	-95.83350284	0	#A9AE85
47.89547975	-95.83341357	1	#729565
47.93029061	-95.83332421	0	#A9AE85
47.96510594	-95.83323475	2	#73A7CC
47.99992577	-95.8331452	0	#A9AE85
48.03475012	-95.83305555	0	#A9AE85
48.06957902	-95.83296581	2	#73A7CC
48.10441249	-95.83287596	0	#A9AE85
48.13925054	-95.83278602	0	#A9AE85
48.17409321	-95.83269599	0	#A9AE85
48.20894051	-95.83260585	0	#A9AE85
48.24379246	-95.83251562	0	#A9AE85
48.2786491	-95.8324253	0	#A9AE85
48.31351044	-95.83233487	2	#73A7CC
48.3483765	-95.83224435	0	#A9AE85
48.38324731	-95.83215373	0	#A9AE85
48.4181229	-95.83206301	2	#73A7CC
48.45300328	-95.83197219	0	#A9AE85
48.48788847	-95.83188128	2	#73A7CC
48.52277851	-95.83179026	2	#73A7CC
48.55767341	-95.83169915	1	#729565
48.5925732	-95.83160794	2	#73A7CC
48.6274779	-95.83151663	2	#73A7CC
48.66238753	-95.83142522	2	#73A7CC
48.69730212	-95.83133371	0	#A9AE85
48.73222169	-95.8312421	0	#A9AE85
48.76714627	-95.8311504	0	#A9AE85
48.80207588	-95.83105859	1	#729565
48.83701054	-95.83096668	0	#A9AE85
48.87195027	-95.83087468	2	#73A7CC
48.90689511	-95.83078257	2	#73A7CC
48.94184507	-95.83069036	2	#73A7CC
48.97680018	-95.83059806	0	#A9AE85
49.01176046	-95.83050565	2	#73A7CC
43.50369211	-95.79633037	0	#A9AE85
43.53809602	-95.79622809	0	#A9AE85
43.57250201	-95.7961257	0	#A9AE85
43.6069101	-95.79602321	0	#A9AE85
43.64132029	-95.79592061	0	#A9AE85
43.6757326	-95.79581791	0	#A9AE85
43.71014706	-95.79571511	2	#73A7CC
43.74456367	-95.79561221	0	#A9AE85
43.77898246	-95.7955092	0	#A9AE85
43.81340343	-95.79540609	0	#A9AE85
43.84782662	-95.79530287	0	#A9AE85
43.88225202	-95.79519955	0	#A9AE85
43.91667966	-95.79509613	0	#A9AE85
43.95110956	-95.7949926	0	#A9AE85
43.98554174	-95.79488896	0	#A9AE85
44.0199762	-95.79478522	2	#73A7CC
44.05441296	-95.79468138	0	#A9AE85
44.08885205	-95.79457743	0	#A9AE85
44.12329348	-95.79447338	0	#A9AE85
44.15773727	-95.79436922	0	#A9AE85
44.19218343	-95.79426495	0	#A9AE85
43.50360974	-95.74862753	0	#A9AE85
43.53801361	-95.74850129	0	#A9AE85
43.57241956	-95.74837492	2	#73A7CC
43.60682759	-95.74824842	0	#A9AE85
43.64123774	-95.7481218	2	#73A7CC
43.67565001	-95.74799505	0	#A9AE85
43.71006441	-95.74786817	0	#A9AE85
43.74448098	-95.74774116	2	#73A7CC
43.77889972	-95.74761403	0	#A9AE85
43.81332065	-95.74748677	0	#A9AE85
43.84774378	-95.74735937	0	#A9AE85
43.88216914	-95.74723186	0	#A9AE85
43.91659674	-95.74710421	0	#A9AE85
43.95102659	-95.74697643	2	#73A7CC
43.98545872	-95.74684852	0	#A9AE85
44.01989313	-95.74672049	0	#A9AE85
44.05432985	-95.74659232	0	#A9AE85
44.08876889	-95.74646403	0	#A9AE85
44.12321027	-95.7463356	0	#A9AE85
44.15765401	-95.74620704	0	#A9AE85
44.19210012	-95.74607836	2	#73A7CC
44.22663197	-95.79416058	0	#A9AE85
44.26108293	-95.7940561	0	#A9AE85
44.29553631	-95.79395152	2	#73A7CC
44.32999213	-95.79384683	0	#A9AE85
44.3644504	-95.79374203	0	#A9AE85
44.39891115	-95.79363713	0	#A9AE85
44.4333744	-95.79353212	2	#73A7CC
44.46784015	-95.79342701	0	#A9AE85
44.50230843	-95.79332178	0	#A9AE85
44.53677925	-95.79321645	0	#A9AE85
44.57125263	-95.79311101	0	#A9AE85
44.60572859	-95.79300547	0	#A9AE85
44.64020715	-95.79289982	0	#A9AE85
44.67468832	-95.79279405	0	#A9AE85
