id,is_observed,obs,dur,dist,is_train
188,t,0.0,0.1,0.0,t
189,f,0,0,0,t
190,f,0,0,0,t
191,t,0.0,0.1,0.0,t
192,t,0.0,0.1,0.0,t
193,t,0.0,0.1,0.0,t
194,t,0.1,0.1,0.0,t
195,t,0.0,0.1,0.0,t
196,t,0.0,0.0,0.0,t
197,t,0.0,0.1,0.0,t
198,t,0.1,0.1,0.0,t
199,t,0.3,0.1,0.0,t
200,t,0.0,0.1,0.0,t
201,t,0.0,0.1,0.0,t
202,t,0.0,0.1,0.0,t
203,f,0,0,0,t
204,t,0.0,0.2,0.0,t
205,t,0.0,0.1,0.0,t
206,t,0.0,0.1,0.0,t
207,t,0.0,0.1,0.0,t
208,t,0.0,0.1,0.0,t
209,t,0.0,0.1,0.0,t
210,t,0.1,0.2,0.0,t
211,t,0.0,0.1,0.0,t
212,t,0.1,0.1,0.0,t
213,t,0.0,0.2,0.0,t
214,t,0.1,0.1,0.0,t
215,t,0.1,0.1,0.0,t
216,t,0.0,0.1,0.0,t
217,t,0.0,0.1,0.0,t
218,t,0.0,0.1,0.0,t
219,t,0.1,0.1,0.0,t
220,t,0.0,0.1,0.0,t
221,t,0.2,0.1,0.0,t
222,t,0.0,0.2,0.0,t
223,f,0,0,0,t
224,t,0.1,0.0,0.0,t
225,t,0.0,0.0,0.0,t
226,t,0.0,0.1,0.0,t
227,f,0,0,0,t
228,t,0.0,0.1,0.0,t
229,t,0.0,0.3,0.1,t
230,f,0,0,0,t
231,t,0.0,0.0,0.0,t
232,t,0.2,0.1,0.0,t
233,t,0.1,0.2,0.0,t
234,t,0.1,0.1,0.0,t
235,f,0,0,0,t
1343,f,0,0,0,t
1344,t,0.0,0.0,0.0,t
1345,t,0.0,0.1,0.0,t
1346,t,0.0,0.1,0.0,t
1347,t,0.1,0.1,0.0,t
1348,t,0.1,0.3,0.0,t
1349,t,0.1,0.1,0.0,t
1350,t,0.0,0.1,0.0,t
1351,t,0.1,0.1,0.0,t
1352,t,0.0,0.1,0.0,t
1353,t,0.0,0.1,0.0,t
1354,f,0,0,0,t
1355,f,0,0,0,t
1356,t,0.0,0.0,0.0,t
1357,t,0.1,0.1,0.0,t
1358,t,0.0,0.1,0.0,t
1359,t,0.0,0.1,0.0,t
1360,t,0.0,0.0,0.0,t
1361,t,0.0,0.2,0.0,t
1362,t,0.0,0.0,0.0,t
1363,t,0.0,0.1,0.0,t
1364,t,0.0,0.0,0.0,t
1365,t,0.0,0.1,0.0,t
1366,t,0.0,0.0,0.0,t
1367,t,0.0,0.0,0.0,t
1368,t,0.1,0.0,0.0,t
1369,f,0,0,0,t
1370,t,0.0,0.0,0.0,t
1371,f,0,0,0,t
1372,f,0,0,0,t
